word,layer_0_connectivity,layer_1_connectivity,layer_2_connectivity,layer_3_connectivity,layer_4_connectivity,layer_5_connectivity,layer_6_connectivity,layer_7_connectivity,layer_8_connectivity,layer_9_connectivity,layer_10_connectivity,layer_11_connectivity,layer_12_connectivity,layer_13_connectivity,layer_14_connectivity,layer_15_connectivity,layer_16_connectivity,layer_17_connectivity,layer_18_connectivity,layer_19_connectivity,layer_20_connectivity,layer_21_connectivity,layer_22_connectivity,layer_23_connectivity,layer_24_connectivity,layer_25_connectivity,layer_26_connectivity
glutton,71818,77476,67483,67483,54390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7047
scrimmage,67654,77476,67483,67483,54390,26444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36958
trademark,67830,77476,67483,67483,54390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306
mildly,70942,77476,67483,67483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
violate,73590,77476,67483,67483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9112
whelk,73548,77476,67483,67483,54390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32929
insectivore,51211,77476,67483,67483,54390,26444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41348
football,70106,77476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
unaccountable,52219,77476,67483,67483,54390,26444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12518
ampleness,48107,77476,67483,67483,54390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42524
depute,73890,77476,67483,67483,54390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35830
inversion,63795,77476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1105
pleat,67224,77476,67483,67483,54390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19659
trephine,71469,77476,67483,67483,54390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28059
authentication,71353,77476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680
land,76173,77476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123
stigma,74472,77476,67483,67483,54390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37906
palace,65478,77476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5075
splasher,71674,77476,67483,67483,54390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10759
waterspout,44361,77476,67483,67483,54390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6027
biquadratic,71848,77476,67483,67483,54390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,843
embarrassed,43979,77476,67483,67483,54390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7446
dearth,73520,77476,67483,67483,54390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17209
hindooism,64321,77476,67483,67483,54390,26444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33723
fungible,64412,77476,67483,67483,54390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30197
luge,65696,77476,67483,67483,54390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36095
partitive,72046,77476,67483,67483,54390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10162
featured,71060,77476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109
drape,70803,77476,67483,67483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24930
frog,70943,77476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1382
portion,68221,77476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4772
associate,70352,77476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
externally,64199,77476,67483,67483,54390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
parting,64873,77476,67483,67483,54390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502
faery,71301,77476,67483,67483,54390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20346
mastership,41077,77476,67483,67483,54390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19122
filicide,59953,77476,67483,67483,54390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41263
bugle,72070,77476,67483,67483,54390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24926
yuma,65569,77476,67483,67483,54390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4530
clear,75057,77476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186
patchwork,69761,77476,67483,67483,54390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500
sombrero,56455,77476,67483,67483,54390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11415
planetary,66346,77476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
operation,72802,77476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1247
connecticut,46971,77476,67483,67483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4441
tahitian,53554,77476,67483,67483,54390,26444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35318
insatiably,62703,77476,67483,67483,54390,26444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31716
heed,73008,77476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4859
delicious,68370,77476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223
slide,71522,77476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454
confront,72414,77476,67483,67483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4398
ballpark,69923,77476,67483,67483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1397
sonnet,68166,77476,67483,67483,54390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36590
saki,68461,77476,67483,67483,54390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3377
crusty,73043,77476,67483,67483,54390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5393
hound,67843,77476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2325
emerald,67355,77476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663
fresco,74379,77476,67483,67483,54390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5042
denouement,62027,77476,67483,67483,54390,26444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30660
disarming,72623,77476,67483,67483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,830
intensive,69660,77476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
violation,66200,77476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1956
recognise,60733,77476,67483,67483,54390,26444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14073
artful,69930,77476,67483,67483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,811
overcast,70720,77476,67483,67483,54390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1472
haldane,71786,77476,67483,67483,54390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36875
superimposed,65677,77476,67483,67483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,882
sisterhood,53596,77476,67483,67483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6097
dump,73948,77476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601
sage,69068,77476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134
