word,layer,connectivity_count,mean_similarity,max_similarity
glutton,0,71818,0.7559,0.9443
scrimmage,0,67654,0.7344,0.9424
trademark,0,67830,0.7417,0.9331
mildly,0,70942,0.7549,0.9214
violate,0,73590,0.7666,0.936
whelk,0,73548,0.7627,0.9463
insectivore,0,51211,0.708,0.9155
football,0,70106,0.7856,0.936
unaccountable,0,52219,0.7129,0.9443
ampleness,0,48107,0.7104,0.9072
depute,0,73890,0.7607,0.936
inversion,0,63795,0.7642,0.9365
pleat,0,67224,0.7563,0.938
trephine,0,71469,0.7578,0.897
authentication,0,71353,0.7905,0.9233
land,0,76173,0.7959,0.9458
stigma,0,74472,0.7671,0.9131
palace,0,65478,0.7725,0.9194
splasher,0,71674,0.7583,0.9336
waterspout,0,44361,0.7012,0.9336
biquadratic,0,71848,0.7695,0.9414
embarrassed,0,43979,0.7002,0.9243
dearth,0,73520,0.769,0.9341
hindooism,0,64321,0.7256,0.937
fungible,0,64412,0.748,0.9292
luge,0,65696,0.7544,0.9453
partitive,0,72046,0.7603,0.8989
featured,0,71060,0.7861,0.9277
drape,0,70803,0.7588,0.9365
frog,0,70943,0.7861,0.9414
portion,0,68221,0.7788,0.9116
associate,0,70352,0.7827,0.936
externally,0,64199,0.7339,0.9282
parting,0,64873,0.7412,0.9521
faery,0,71301,0.7588,0.9355
mastership,0,41077,0.6924,0.9487
filicide,0,59953,0.7354,0.9048
bugle,0,72070,0.7603,0.9414
yuma,0,65569,0.75,0.9307
clear,0,75057,0.7905,0.938
patchwork,0,69761,0.751,0.938
sombrero,0,56455,0.7275,0.9214
planetary,0,66346,0.7725,0.9321
operation,0,72802,0.79,0.9565
connecticut,0,46971,0.7065,0.8472
tahitian,0,53554,0.7241,0.9043
insatiably,0,62703,0.7275,0.9258
heed,0,73008,0.7896,0.9395
delicious,0,68370,0.7822,0.9414
slide,0,71522,0.7886,0.9375
confront,0,72414,0.7607,0.9497
ballpark,0,69923,0.75,0.9434
sonnet,0,68166,0.7515,0.9404
saki,0,68461,0.7568,0.9282
crusty,0,73043,0.7627,0.9224
hound,0,67843,0.772,0.9478
emerald,0,67355,0.7754,0.9053
