word,polysemy_score,total_features,total_connectivity
glutton,2,0,345697
scrimmage,3,0,397888
trademark,4,0,334968
mildly,2,0,283398
violate,6,0,295144
whelk,3,0,373309
insectivore,2,0,385835
football,2,0,147658
unaccountable,2,0,358013
ampleness,2,0,357463
depute,3,0,376552
inversion,9,0,142376
pleat,3,0,353715
trephine,2,0,366360
authentication,2,0,149509
land,18,0,153772
stigma,4,0,379210
palace,4,0,148029
splasher,2,0,349265
waterspout,3,0,317220
biquadratic,4,0,339523
embarrassed,2,0,318257
dearth,2,0,357561
hindooism,2,0,391320
fungible,2,0,361441
luge,2,0,368623
partitive,4,0,349040
featured,2,0,148645
drape,7,0,308175
frog,4,0,149801
portion,8,0,150469
associate,9,0,147831
externally,2,0,331062
parting,2,0,332207
faery,2,0,358479
mastership,2,0,327031
filicide,2,0,368048
bugle,4,0,363828
yuma,3,0,336931
clear,45,0,152719
patchwork,3,0,338093
sombrero,2,0,334702
planetary,4,0,143846
operation,11,0,151525
connecticut,3,0,263854
tahitian,3,0,382148
insatiably,2,0,387695
heed,2,0,155343
delicious,3,0,146069
slide,10,0,149452
confront,4,0,289254
ballpark,2,0,283762
sonnet,3,0,371588
saki,3,0,338670
crusty,2,0,345268
hound,3,0,147644
emerald,3,0,145494
fresco,3,0,346253
denouement,2,0,385963
disarming,2,0,285895
intensive,4,0,147208
violation,5,0,145632
recognise,8,0,368082
artful,2,0,283183
overcast,8,0,339024
haldane,4,0,375493
superimposed,2,0,279001
sisterhood,3,0,272135
dump,10,0,152025
sage,5,0,146678
efflorescence,4,0,392397
throttle,5,0,146215
squill,3,0,355638
thrower,3,0,139550
absolutism,4,0,385540
zero,10,0,152575
sleuthhound,2,0,364334
eden,2,0,183407
claret,3,0,359522
diaphoretic,2,0,367315
modernism,3,0,282583
visibly,2,0,349179
waterloo,3,0,282928
legitimation,2,0,399559
telephotography,2,0,347233
korean,3,0,144404
selector,2,0,151560
hymn,3,0,308176
grandeur,2,0,342662
pavan,2,0,358495
calibrate,3,0,282415
haymaker,2,0,351374
frontage,3,0,354722
vile,2,0,170104
passport,3,0,145172
tract,4,0,147486
shucks,2,0,345901
pliant,4,0,377826
reconsideration,2,0,362464
bleak,3,0,355078
indentation,4,0,287478
certifiable,2,0,309323
deport,3,0,340189
slovenian,2,0,376456
