word,polysemy_score,total_features,total_connectivity
conflict,9,0,0
victorian,4,0,0
tapering,3,0,0
reciprocal,5,0,0
catenulate,2,0,0
confect,3,0,0
dark,16,0,0
cannon,8,0,0
sticktight,2,0,0
counteract,4,0,0
bleed,5,0,0
laminate,5,0,0
pyrogenic,2,0,0
recreate,4,0,0
crank,10,0,0
hieroglyphical,2,0,0
superfluous,2,0,0
amenable,4,0,0
monegasque,2,0,0
sufferance,2,0,0
thrush,3,0,0
quotation,4,0,0
washingtonian,6,0,0
idolization,2,0,0
foundation,7,0,0
snowshoe,2,0,0
nuisance,2,0,0
belabour,3,0,0
downfall,3,0,0
puffer,2,0,0
adoring,2,0,0
indisputable,2,0,0
rambling,3,0,0
squally,2,0,0
profess,7,0,0
tangency,2,0,0
mortarboard,2,0,0
fang,4,0,0
decapitation,2,0,0
epileptic,2,0,0
skimming,4,0,0
adult,4,0,0
melody,2,0,0
unbiassed,2,0,0
unencumbered,2,0,0
depressant,2,0,0
seasonable,2,0,0
zap,5,0,0
anonymous,2,0,0
repress,4,0,0
penalisation,1,0,0
vitriolically,1,0,0
disinterestedly,1,0,0
planeness,1,0,0
zayin,1,0,0
universalize,1,0,0
pieta,1,0,0
rosacea,1,0,0
etf,1,0,0
supplanting,1,0,0
nosecount,1,0,0
driftwood,1,0,0
monomorphemic,1,0,0
morone,1,0,0
libretto,1,0,0
deserve,1,0,0
yellowness,1,0,0
leishmaniosis,1,0,0
uncaulked,1,0,0
housebreaking,1,0,0
paletiology,1,0,0
amen,1,0,0
neopolitan,1,0,0
piton,1,0,0
gymnospermous,1,0,0
trapa,1,0,0
parathelypteris,1,0,0
naturopath,1,0,0
vampire,1,0,0
freebee,1,0,0
disingenuous,1,0,0
dillydally,1,0,0
comprehended,1,0,0
restrengthen,1,0,0
dexterous,1,0,0
nevus,1,0,0
nutter,1,0,0
bucephala,1,0,0
downrightness,1,0,0
stupidly,1,0,0
screener,1,0,0
persecution,1,0,0
schistosomiasis,1,0,0
institutionalize,1,0,0
snuggling,1,0,0
paved,1,0,0
antecubital,1,0,0
paternally,1,0,0
strapping,1,0,0
chlorambucil,1,0,0
